Title,Author,Genre,Year Published,Summary
The Divine Comedy,Dante Alighieri,Epic Poetry,1320,"A spiritual journey through Hell, Purgatory, and Paradise, representing the soul’s path to God."
The Metamorphosis,Franz Kafka,Absurdist Fiction,1915,"A man wakes up one morning to find himself transformed into a giant insect, facing alienation and despair."
The Handmaid's Tale,Margaret Atwood,Dystopian,1985,"A future society where women are subjugated, focusing on the life of a “handmaid” used for reproduction."
The Old Man and the Sea,Ernest Hemingway,Literary Fiction,1952,The story of an old Cuban fisherman’s epic struggle to catch a giant marlin and his battle with the sea.
Ulysses,James Joyce,Modernist Fiction,1922,"A day in the life of Leopold Bloom in Dublin, paralleling Homer’s Odyssey in a stream-of-consciousness style."
Heart of Darkness,Joseph Conrad,Novella,1899,A journey into the African Congo becomes a metaphorical exploration of colonialism and the human psyche.
Great Expectations,Charles Dickens,Bildungsroman,1861,"The story of an orphan named Pip and his growth, experiences, and moral development in Victorian England."
Madame Bovary,Gustave Flaubert,Literary Fiction,1857,"The story of a doctor's wife who, dissatisfied with her provincial life, seeks escape through affairs and luxury."
A Tale of Two Cities,Charles Dickens,Historical Fiction,1859,"A story of love, sacrifice, and redemption set against the backdrop of the French Revolution."
The Count of Monte Cristo,Alexandre Dumas,Adventure,1844,A man wrongfully imprisoned escapes and seeks revenge against those who betrayed him.
The Sound and the Fury,William Faulkner,Southern Gothic,1929,"A complex, multi-perspective narrative about the decline of the Compson family in the American South."
The Sun Also Rises,Ernest Hemingway,Modernist Fiction,1926,"A post-WWI story of a group of expatriates in Europe, exploring themes of love, loss, and disillusionment."
A Passage to India,E.M. Forster,Historical Fiction,1924,"The tensions between the British and Indians during the British Raj, exploring race, religion, and friendship."
Gulliver’s Travels,Jonathan Swift,Satire,1726,"The adventures of Lemuel Gulliver in strange lands, satirizing human nature and society."
Gone with the Wind,Margaret Mitchell,Historical Fiction,1936,"The story of Scarlett O’Hara, a Southern belle, during the American Civil War and Reconstruction."
Rebecca,Daphne du Maurier,Gothic Fiction,1938,"A young bride is haunted by the legacy of her husband’s first wife, Rebecca, at the mysterious Manderley estate."
The Scarlet Letter,Nathaniel Hawthorne,Historical Fiction,1850,A woman in Puritan New England is shunned and forced to wear a scarlet “A” for adultery.
The Catch-22,Joseph Heller,Satire,1961,A satirical look at the absurdities of war through the experiences of a WWII bomber squadron.
