Title,Author,Year Published,Summary,average_rating,total_reviews,Genre
Middlemarch,George Eliot,1871,"A sprawling study of provincial life in 19th-century England, focusing on social and political issues.",1.7495208350829787,769,Fantasy
Don Quixote,Miguel de Cervantes,1605,"The story of an aging man who, inspired by tales of chivalry, sets out as a knight to revive chivalry.",3.589547183882392,658,Fiction
The Divine Comedy,Dante Alighieri,1320,"A spiritual journey through Hell, Purgatory, and Paradise, representing the soul’s path to God.",3.89347179189149,997,Sci-Fi
The Metamorphosis,Franz Kafka,1915,"A man wakes up one morning to find himself transformed into a giant insect, facing alienation and despair.",2.1271771575458076,355,Sci-Fi
The Handmaid's Tale,Margaret Atwood,1985,"A future society where women are subjugated, focusing on the life of a “handmaid” used for reproduction.",3.340002330468016,846,Fiction
The Old Man and the Sea,Ernest Hemingway,1952,The story of an old Cuban fisherman’s epic struggle to catch a giant marlin and his battle with the sea.,3.8198971999816336,273,Non-Fiction
Ulysses,James Joyce,1922,"A day in the life of Leopold Bloom in Dublin, paralleling Homer’s Odyssey in a stream-of-consciousness style.",1.4843662532773232,115,Fantasy
Heart of Darkness,Joseph Conrad,1899,A journey into the African Congo becomes a metaphorical exploration of colonialism and the human psyche.,4.523396286859148,40,Sci-Fi
Great Expectations,Charles Dickens,1861,"The story of an orphan named Pip and his growth, experiences, and moral development in Victorian England.",4.449868682246607,218,Non-Fiction
Madame Bovary,Gustave Flaubert,1857,"The story of a doctor's wife who, dissatisfied with her provincial life, seeks escape through affairs and luxury.",1.6080542800863942,481,Non-Fiction
A Tale of Two Cities,Charles Dickens,1859,"A story of love, sacrifice, and redemption set against the backdrop of the French Revolution.",1.6452618305149405,784,Fantasy
The Count of Monte Cristo,Alexandre Dumas,1844,A man wrongfully imprisoned escapes and seeks revenge against those who betrayed him.,1.0258788722634624,823,Fantasy
The Sound and the Fury,William Faulkner,1929,"A complex, multi-perspective narrative about the decline of the Compson family in the American South.",1.4446234937320135,38,Sci-Fi
The Sun Also Rises,Ernest Hemingway,1926,"A post-WWI story of a group of expatriates in Europe, exploring themes of love, loss, and disillusionment.",1.880907665051382,604,Fantasy
A Passage to India,E.M. Forster,1924,"The tensions between the British and Indians during the British Raj, exploring race, religion, and friendship.",3.1125905753593006,851,Fantasy
Gulliver’s Travels,Jonathan Swift,1726,"The adventures of Lemuel Gulliver in strange lands, satirizing human nature and society.",1.8026947035063006,685,Non-Fiction
Gone with the Wind,Margaret Mitchell,1936,"The story of Scarlett O’Hara, a Southern belle, during the American Civil War and Reconstruction.",4.514948825354859,759,Fantasy
Rebecca,Daphne du Maurier,1938,"A young bride is haunted by the legacy of her husband’s first wife, Rebecca, at the mysterious Manderley estate.",2.1556585993320807,891,Fantasy
The Scarlet Letter,Nathaniel Hawthorne,1850,A woman in Puritan New England is shunned and forced to wear a scarlet “A” for adultery.,1.8332445999822098,114,Non-Fiction
The Catch-22,Joseph Heller,1961,A satirical look at the absurdities of war through the experiences of a WWII bomber squadron.,1.3346281648470004,790,Fiction
